[2026-07-27T08:09:53.054Z] GET http://localhost:8899/ → 200 (8ms, 36296B)
[2026-07-27T08:09:53.064Z] GET http://localhost:8899/fonts/space-grotesk-700.woff2 → 200 (1ms, ?B)
[2026-07-27T08:09:53.065Z] GET http://localhost:8899/fonts/inter-400.woff2 → 200 (?ms, ?B)
[2026-07-27T08:09:53.065Z] GET http://localhost:8899/assets/zippyscale-logo-light-bg.svg → 200 (?ms, 453B)
[2026-07-27T08:09:53.066Z] GET http://localhost:8899/assets/img/tour.jpg → 304 (?ms, ?B)
[2026-07-27T08:09:53.066Z] GET http://localhost:8899/assets/img/build.jpg → 304 (?ms, ?B)
[2026-07-27T08:09:53.066Z] GET http://localhost:8899/assets/zippyscale-logo-dark-bg.svg → 200 (?ms, 631B)
[2026-07-27T08:09:53.083Z] GET http://localhost:8899/fonts/inter-500.woff2 → 200 (?ms, ?B)
[2026-07-27T08:09:53.083Z] GET http://localhost:8899/fonts/inter-700.woff2 → 200 (?ms, ?B)
[2026-07-27T08:09:53.083Z] GET http://localhost:8899/fonts/jetbrains-mono-700.woff2 → 200 (?ms, ?B)
[2026-07-27T08:10:30.505Z] GET http://localhost:8899/ → 200 (68ms, 36296B)
[2026-07-27T08:10:30.667Z] GET http://localhost:8899/fonts/space-grotesk-700.woff2 → 200 (1ms, ?B)
[2026-07-27T08:10:30.668Z] GET http://localhost:8899/fonts/inter-400.woff2 → 200 (1ms, ?B)
[2026-07-27T08:10:30.669Z] GET http://localhost:8899/assets/zippyscale-logo-light-bg.svg → 200 (?ms, 453B)
[2026-07-27T08:10:30.669Z] GET http://localhost:8899/assets/img/tour.jpg → 200 (?ms, 257882B)
[2026-07-27T08:10:30.669Z] GET http://localhost:8899/assets/img/build.jpg → 200 (?ms, 252643B)
[2026-07-27T08:10:30.670Z] GET http://localhost:8899/assets/zippyscale-logo-dark-bg.svg → 200 (?ms, 631B)
[2026-07-27T08:10:30.772Z] GET http://localhost:8899/fonts/inter-500.woff2 → 200 (?ms, ?B)
[2026-07-27T08:10:30.772Z] GET http://localhost:8899/fonts/inter-700.woff2 → 200 (1ms, ?B)
[2026-07-27T08:10:30.773Z] GET http://localhost:8899/fonts/jetbrains-mono-700.woff2 → 200 (?ms, ?B)
[2026-07-27T08:11:33.696Z] GET http://localhost:8899/ → 200 (3ms, 36341B)
[2026-07-27T08:11:33.710Z] GET http://localhost:8899/fonts/space-grotesk-700.woff2 → 200 (?ms, ?B)
[2026-07-27T08:11:33.711Z] GET http://localhost:8899/fonts/inter-400.woff2 → 200 (?ms, ?B)
[2026-07-27T08:11:33.711Z] GET http://localhost:8899/assets/zippyscale-logo-light-bg.svg → 200 (3ms, 453B)
[2026-07-27T08:11:33.714Z] GET http://localhost:8899/assets/img/tour.jpg → 304 (13ms, ?B)
[2026-07-27T08:11:33.714Z] GET http://localhost:8899/assets/img/build.jpg → 304 (13ms, ?B)
[2026-07-27T08:11:33.714Z] GET http://localhost:8899/assets/zippyscale-logo-dark-bg.svg → 200 (?ms, 631B)
[2026-07-27T08:11:33.724Z] GET http://localhost:8899/fonts/inter-500.woff2 → 200 (?ms, ?B)
[2026-07-27T08:11:33.725Z] GET http://localhost:8899/fonts/inter-700.woff2 → 200 (?ms, ?B)
[2026-07-27T08:11:33.725Z] GET http://localhost:8899/fonts/jetbrains-mono-700.woff2 → 200 (?ms, ?B)
[2026-07-27T08:12:05.732Z] GET http://localhost:8899/ → 200 (3ms, 36644B)
[2026-07-27T08:12:05.740Z] GET http://localhost:8899/fonts/space-grotesk-700.woff2 → 304 (37ms, ?B)
[2026-07-27T08:12:05.740Z] GET http://localhost:8899/fonts/inter-400.woff2 → 304 (37ms, ?B)
[2026-07-27T08:12:05.740Z] GET http://localhost:8899/assets/zippyscale-logo-light-bg.svg → 304 (37ms, ?B)
[2026-07-27T08:12:05.740Z] GET http://localhost:8899/assets/img/tour.jpg → 200 (?ms, 257882B)
[2026-07-27T08:12:05.741Z] GET http://localhost:8899/assets/img/build.jpg → 200 (?ms, 252643B)
[2026-07-27T08:12:05.741Z] GET http://localhost:8899/assets/zippyscale-logo-dark-bg.svg → 304 (37ms, ?B)
[2026-07-27T08:12:05.776Z] GET http://localhost:8899/fonts/inter-500.woff2 → 304 (2ms, ?B)
[2026-07-27T08:12:05.777Z] GET http://localhost:8899/fonts/inter-700.woff2 → 304 (1ms, ?B)
[2026-07-27T08:12:05.777Z] GET http://localhost:8899/fonts/jetbrains-mono-700.woff2 → 304 (1ms, ?B)
[2026-07-27T08:15:40.461Z] GET http://localhost:8899/ → 200 (6ms, 37963B)
[2026-07-27T08:15:40.471Z] GET http://localhost:8899/fonts/space-grotesk-700.woff2 → 304 (2ms, ?B)
[2026-07-27T08:15:40.473Z] GET http://localhost:8899/fonts/inter-400.woff2 → 304 (22ms, ?B)
[2026-07-27T08:15:40.473Z] GET http://localhost:8899/assets/zippyscale-logo-light-bg.svg → 304 (22ms, ?B)
[2026-07-27T08:15:40.473Z] GET http://localhost:8899/assets/img/tour.jpg → 304 (22ms, ?B)
[2026-07-27T08:15:40.473Z] GET http://localhost:8899/assets/img/build.jpg → 304 (23ms, ?B)
[2026-07-27T08:15:40.473Z] GET http://localhost:8899/assets/zippyscale-logo-dark-bg.svg → 304 (23ms, ?B)
[2026-07-27T08:15:40.495Z] GET http://localhost:8899/fonts/inter-500.woff2 → 304 (1ms, ?B)
[2026-07-27T08:15:40.495Z] GET http://localhost:8899/fonts/inter-700.woff2 → 304 (1ms, ?B)
[2026-07-27T08:15:40.495Z] GET http://localhost:8899/fonts/jetbrains-mono-700.woff2 → 304 (1ms, ?B)
